,Datetime,ID,text,username
0,"Oct 8, 2024 · 10:48 AM UTC",1753552532935266305,$MSFT #MSFT NFA $SPY I will open call at 👇 range at the open 🚨,@UttamMarketJ
1,"Oct 8, 2024 · 10:32 AM UTC",1803699646516318208,🔥 MSFT(Microsoft Corporation) Stock Prediction  ⚡ AI predicts as follows.  AppStore: https://zrr.kr/gxEo Android: https://zrr.kr/rxEe #Stock #MSFT #AI #Quant #NASDAQ  👇,@riskstock
2,"Oct 8, 2024 · 9:16 AM UTC",1825899596444217344,@nunoaires LinkedIn profits #MSFT😂,@cruz_haile
3,"Oct 8, 2024 · 9:02 AM UTC",1803699646516318208,🔥 MSFT(Microsoft Corporation) Stock Prediction  ⚡ AI predicts as follows.  AppStore: https://zrr.kr/gxEo Android: https://zrr.kr/rxEe #Stock #MSFT #AI #Quant #NASDAQ  👇,@riskstock
4,"Oct 8, 2024 · 7:32 AM UTC",1803699646516318208,🔥 MSFT(Microsoft Corporation) Stock Prediction  ⚡ AI predicts as follows.  AppStore: https://zrr.kr/gxEo Android: https://zrr.kr/rxEe #Stock #MSFT #AI #Quant #NASDAQ  👇,@riskstock
5,"Oct 8, 2024 · 6:44 AM UTC",1736635228146606080,#Microsoft $MSFT #MSFT   below the 200D MA,@IvoPan145365
6,"Oct 8, 2024 · 6:25 AM UTC",1648672404191735811,"$MSFT remains strong and is close to confirming a short-term bullish signal. 📈 Post market: 409.97$    🟢+0.4300 (+0.1050%)  For more info, technical analysis and upcoming targets, click the link in our profile.👆  $SPX $DJI $QQQ #MSFT #Investing #StockMarket #Stocks #Trading",@pro1xcom
7,"Oct 7, 2024 · 11:23 PM UTC",1626930896124391424,MSFT (Microsoft) Weekly   (5) (1) and (5) are almost the same size in wave (5) = wave equality  (1)-(3) and (2)-(4) lines form a channel  Lines (1)-(3) and (2)-(4) also form a channel   (5) Possibility of forming a triple ceiling after completion #MSFT,@ewrij225en
8,"Oct 8, 2024 · 5:19 AM UTC",default_profile_bigger.png,how this correlates with dropping #MSFT?,@Michal761379605
9,"Oct 8, 2024 · 2:32 AM UTC",1803699646516318208,🔥 MSFT(Microsoft Corporation) Stock Prediction  ⚡ AI predicts as follows.  AppStore: https://zrr.kr/gxEo Android: https://zrr.kr/rxEe #Stock #MSFT #AI #Quant #NASDAQ  👇,@riskstock
10,"Oct 8, 2024 · 12:31 AM UTC",1409300043383857158,"$MSFT #MSFT 4H update.  They got one more low as mentioned. Quite a bit of confluence here with RSI divergence (4H).   Bearish sequence still valid due to RSI trendline. If W2 is in, price should move up quickly. W1 $421.06  If price fails here w/ drawdown, will look alternate",@beardedtradr
11,"Oct 7, 2024 · 11:03 PM UTC",1842245383033860096,"The chart of #MSFT shows a solid downtrend after failing to hold previous support at 414.27. Strong resistance is observed at 410.65, while a lower support level around 408.98 holds. Expect short-term fluctuations, but a reversal to 415.68 within two weeks could occur.",@Keshav32255791
12,"Oct 7, 2024 · 11:02 PM UTC",1803699646516318208,🔥 MSFT(Microsoft Corporation) Stock Prediction  ⚡ AI predicts as follows.  AppStore: https://zrr.kr/gxEo Android: https://zrr.kr/rxEe #Stock #MSFT #AI #Quant #NASDAQ  👇,@riskstock
13,"Oct 7, 2024 · 10:47 PM UTC",1503098474581176321,"MSFT breaks below 50 & 200-day MAs, signaling potential trend reversal. RSI & MACD bearish. Key support at $400. Volume increasing on downside. Bulls need quick recovery above MAs to negate bearish setup. Watch for consolidation or further downside in near-term. #MSFT #TechnicalAnalysis",@analysisjitsu
14,"Oct 7, 2024 · 10:25 PM UTC",1685368224144089088,Check out my Microsoft #MSFT analysis on #InvestmentOpportunity #TradingSignals : https://www.tradingview.com/x/iS1yXr2V/,@gyminye
15,"Oct 6, 2024 · 1:29 AM UTC",1588907121025765378,"Yeah, I Be Looking 👀!   #Perspective #Finance #StockMarket #CryptoAnalytics #RiskManagement #Bitcoin #AAPL #TSLA #ETH #SOL #AVAX #BTC #MSFT #META #NVDA #AMZN #GOOGL #Crypto",@Market_MRKT
16,"Oct 4, 2024 · 12:17 AM UTC",1839149204062777345,$MSFT #MSFT One of the best setups in the market right now.  Shared everything you need to know: bit.ly/3LU727J,@Jake__Wujastyk
17,"Oct 7, 2024 · 8:35 PM UTC",1820610845128175616,"IF #Israel decides not to conduct any high stakes missile strikes tonight, on the one year anniversary of the #Hamas terror attack, with 101 hostages still in #Gaza, and a widening war, #spy *could have a 🐻 🚀 ⛽ rally tomorrow, with #APPL, #MSFT & #NVDA leading the charge.",@AGuyNamedSomet1
18,"Oct 7, 2024 · 8:17 PM UTC",1820610845128175616,"What I'm seeing right now is either a 🚀 tomorrow for #spy, #APPL, #MSFT, #NVDA, and down Wed. or all down tmrw with spy at $561.35, flat, sticky Wed., and then a bounce to $567.65 on Thurs  and $569.65 on Fri. Then escalation over the weekend, and down to $555.50 by 10/17.",@AGuyNamedSomet1
19,"Oct 7, 2024 · 8:02 PM UTC",1796055203214475264,Analyze every loss like a roadmap to your next win.  https://symbiaai.com to join us and trade with Top Analysts #spy #trading #tradesignals #tsla #nvda #aapl #tradealerts #amzn #meta #msft #amd #smci #btc #eth #crypto #stocktips #optionstrading #futurestrading,@SymbiaAI
20,"Oct 7, 2024 · 7:43 PM UTC",1742113012,"$MSFT recovery from August low may turn corrective if 9/06 low is breached. Then, the stock could falter to 364 in a zigzag structure from 7/05 high. #Elliottwave #Stocks #MSFT",@ElliottForecast
21,"Oct 7, 2024 · 7:09 PM UTC",1567283549954252802,Small gains add up. Protect your capital first and the profits will follow.  Join us today at https://symbiaai.com and trade with Top Analysts and Algos. #spy #trading #tradesignals #tsla #nvda #aapl #tradealerts #amzn #meta #msft #amd #smci #btc #eth #crypto #stocktips #optionstrading #futurestrading,@wallstreetmatt
22,"Oct 7, 2024 · 7:09 PM UTC",1812377723123150848,"In trading, less can be more. Don’t chase the market and let the setups come to you.  https://symbiaai.com to join us and trade with Top Analysts #spy #trading #tradesignals #tsla #nvda #aapl #tradealerts #amzn #meta #msft #amd #smci #btc #eth #crypto #stocktips",@DayTradeDustin
23,"Oct 7, 2024 · 7:00 PM UTC",1474146475357712403,FMR LLC Bolsters Stake in GMS Inc  #AAPL #AMZN #GMS #META #MSFT #NVDA #News https://www.gurufocus.com/news/2543899/fmr-llc-bolsters-stake-in-gms-inc,@DividendUsa
24,"Oct 7, 2024 · 6:48 PM UTC",1799306836304187392,"Master of Price Action-Live Chart Analysis:  {""#MSFT"":""Mark 410.15000000000003 and 409.50000000000006 on 1 MTF""}  Click below to join the Elite League of Price Action Traders !! https://ift.tt/BcibsGy #intradaytrading #stocksinnews #priceaction, #banknifty, #nifty, #BTCUSD, #…",@priceaction_MW
25,"Oct 7, 2024 · 6:44 PM UTC",1753552532935266305,$MSFT #MSFT that’s why I closed it NFA $SPY  405.80-402.50 🚨,@UttamMarketJ
26,"Oct 7, 2024 · 4:45 PM UTC",1820936183074971648,BEAR DIVERGENCES   BEAR SIGNS on 90% of Charts 50% MARKET CRASH    Make 100x on puts    13marketmoves.com #oilcrashmarketcrash #techstockscrash #techstocksselloff #marketdrop #bearmarket #markettop #meta #msft #nasdaq #bitcoinprice #bitcoinchart #etherium #crypto #tradingwithleo #13mm #13marketmoves #lly #coin #mstr #amzn #tsla #aapl #nvda #gme #trading #tradingoptions #puts #putoptions #charts #tradingcharts #marketnews #tradingstrategy #tradingpsychology #marketcorrelationschtr #divergence #nextweektradingplan #weeklyotions #marketnextmove #markettop #asml #nxpi #ups #blacktuesday #stagflation #blackwednesday #powell #trumpharrisdebate,@13MarkettMoves
